iter	Passed	Remaining
420	2103	22878
421	2117	22972
422	2135	23105
423	2148	23191
424	2161	23267
425	2177	23380
426	2183	23388
427	2193	23429
428	2197	23417
429	2200	23391
430	2209	23424
431	2213	23406
432	2216	23375
433	2221	23366
434	2225	23358
435	2229	23339
436	2232	23312
437	2237	23300
438	2243	23304
439	2245	23276
440	2248	23247
441	2255	23257
442	2261	23266
443	2264	23238
444	2275	23291
445	2279	23275
446	2290	23331
447	2295	23327
448	2300	23313
449	2310	23359
450	2314	23348
451	2322	23373
452	2327	23366
453	2337	23405
454	2352	23495
455	2367	23588
456	2371	23576
457	2375	23557
458	2384	23594
459	2388	23574
460	2392	23559
461	2398	23560
462	2402	23544
463	2406	23523
464	2409	23498
465	2413	23486
466	2417	23464
467	2421	23445
468	2424	23422
469	2429	23414
470	2432	23388
471	2436	23377
472	2440	23354
473	2445	23347
474	2449	23333
475	2453	23314
476	2456	23290
477	2463	23308
478	2467	23286
479	2469	23258
480	2472	23232
481	2476	23213
482	2479	23185
483	2482	23159
484	2485	23133
485	2487	23106
486	2491	23085
487	2494	23061
488	2497	23035
489	2500	23011
490	2502	22984
491	2506	22963
492	2509	22938
493	2512	22921
494	2516	22898
495	2519	22877
496	2523	22864
497	2527	22846
498	2530	22824
499	2533	22804
500	2537	22783
501	2542	22781
502	2545	22758
503	2549	22741
504	2552	22717
505	2556	22708
506	2561	22696
507	2564	22674
508	2567	22654
509	2571	22639
510	2575	22623
511	2578	22603
512	2582	22585
513	2585	22565
514	2590	22558
515	2593	22538
516	2597	22520
517	2600	22499
518	2605	22499
519	2608	22476
520	2612	22456
521	2615	22438
522	2620	22431
523	2623	22412
524	2626	22391
525	2630	22373
526	2634	22360
527	2639	22358
528	2644	22348
529	2647	22326
530	2653	22332
531	2659	22336
532	2662	22316
533	2669	22324
534	2676	22333
535	2679	22313
536	2683	22306
537	2690	22312
538	2694	22298
539	2697	22277
540	2703	22284
541	2708	22274
542	2711	22256
543	2715	22242
544	2721	22247
545	2725	22234
546	2728	22215
547	2733	22208
548	2740	22219
549	2744	22208
550	2750	22211
551	2756	22213
552	2761	22209
553	2769	22224
554	2773	22215
555	2780	22223
556	2790	22260
557	2795	22249
558	2802	22267
559	2807	22262
560	2811	22242
561	2820	22270
562	2823	22253
563	2827	22235
564	2837	22269
565	2840	22253
566	2845	22244
567	2853	22267
568	2857	22255
569	2865	22271
570	2870	22264
571	2874	22248
572	2880	22256
573	2887	22265
574	2890	22247
575	2898	22262
576	2904	22264
577	2908	22248
578	2916	22271
579	2920	22257
580	2923	22239
581	2932	22263
582	2937	22258
583	2946	22282
584	2953	22286
585	2959	22289
586	2964	22288
587	2968	22271
588	2971	22250
589	2975	22238
590	2979	22225
591	2983	22213
592	2986	22194
593	2989	22173
594	2995	22177
595	2999	22164
