iter	MAPE	RMSE	MAE
0	0.04186674819	0.7403300925	0.5938454482
1	0.0410828429	0.7272564948	0.5827334803
2	0.04034080414	0.7148243638	0.5722087832
3	0.03957191682	0.7024516189	0.5612817503
4	0.03880970867	0.6898977174	0.5504679291
5	0.03811450045	0.6784200414	0.5405666411
6	0.03742991187	0.6674072614	0.5308560755
7	0.03673423243	0.6557605953	0.520987841
8	0.03605334267	0.6442473229	0.5113213503
9	0.03539320932	0.6329351065	0.5019429353
10	0.03474153551	0.6220978461	0.4926873421
11	0.03412020248	0.6114486029	0.4838618938
12	0.03350286972	0.6010261437	0.4751088119
13	0.03288974185	0.5909354695	0.4664094906
14	0.03230269804	0.5812947067	0.4580667845
15	0.03173343165	0.5715666382	0.4499831846
16	0.03117853351	0.5622493578	0.4421000658
17	0.03063189757	0.5533111217	0.4343639967
18	0.03010032566	0.5444109994	0.4268087722
19	0.02957541838	0.5359104505	0.4193675474
20	0.02907571715	0.5273754828	0.4122700792
21	0.02860737151	0.519510256	0.405614054
22	0.02813734157	0.5119451914	0.3989266069
23	0.02766361574	0.5040669278	0.3922020763
24	0.02720989261	0.4964660141	0.3857611034
25	0.02677075675	0.488838538	0.379517621
26	0.02635099735	0.4817458726	0.3735617553
27	0.02591667163	0.4744237766	0.3673905959
28	0.02552930298	0.4678542295	0.3618921346
29	0.02513893199	0.4612769119	0.3563461991
30	0.02474182028	0.4547137501	0.3507138111
31	0.02436976196	0.4483736999	0.3454480014
32	0.02400567077	0.442166177	0.3402704074
33	0.02367242168	0.4364527407	0.3355436916
34	0.02330970661	0.430724579	0.3303917701
35	0.02294847784	0.4247638109	0.3252710228
36	0.02263992381	0.4192909574	0.3208853197
37	0.02232216531	0.4140396627	0.3163759597
38	0.02200640115	0.4084957152	0.3118902968
39	0.02169958192	0.4033982408	0.3075305898
40	0.02138119297	0.3983403334	0.3030020498
41	0.02106811804	0.3931305289	0.2985509157
42	0.02078390097	0.3882381544	0.294499118
43	0.02050120492	0.3834934276	0.2904894239
44	0.02024356837	0.3790492746	0.2868313752
45	0.02000680645	0.3747651528	0.2834577009
46	0.01975545242	0.3704372486	0.2798845764
47	0.01950374879	0.366312471	0.2763000307
48	0.01925804144	0.3620975252	0.2728160852
49	0.01902940839	0.3581030264	0.2695631596
50	0.01881789754	0.3543699259	0.266550098
51	0.01857212035	0.3504113581	0.2630568786
52	0.01835032496	0.3468673315	0.2599016045
53	0.01812645475	0.3433100138	0.256733095
54	0.01790284086	0.3397865804	0.253565192
55	0.01768600234	0.3362556518	0.2504757979
56	0.017487439	0.3329166004	0.2476442779
57	0.01728618197	0.3296830756	0.2448052495
58	0.01710387846	0.3264967185	0.242202254
59	0.01691401399	0.3232577684	0.2394949917
60	0.01673704048	0.3201372626	0.236986148
61	0.01657271102	0.317150921	0.2346583835
62	0.01639524938	0.3143781909	0.23215923
63	0.016223551	0.3114764212	0.2297221772
64	0.01606329635	0.3088900803	0.2274510306
65	0.01591310419	0.3063915623	0.2253313111
66	0.01576295508	0.3039064578	0.2231979615
67	0.01560054814	0.301348379	0.2208863949
68	0.01545118483	0.2988527255	0.2187569868
69	0.01530948199	0.2965030035	0.2167434881
70	0.01516984062	0.2941971018	0.2147495525
71	0.01503300494	0.2919456598	0.2128148055
72	0.01490397638	0.2898191785	0.2109850045
73	0.0147729414	0.2875977623	0.2091298025
74	0.01464909577	0.2854034672	0.2073836494
75	0.01452276647	0.2832593528	0.2055850476
76	0.01440127144	0.2811204178	0.2038681581
77	0.01429017162	0.2793531041	0.2022943456
78	0.01417351274	0.2773808672	0.2006380477
79	0.01405742681	0.2754716538	0.1989882745
80	0.01394371603	0.2737176615	0.1973697859
81	0.01384258884	0.2719438146	0.1959379947
82	0.01373406988	0.2701973646	0.1943968128
83	0.0136310416	0.2685900506	0.1929300706
84	0.01352978227	0.2669502669	0.1915035065
85	0.01344222847	0.2653160655	0.1902566063
86	0.01335469203	0.2637823167	0.1890143405
87	0.0132555209	0.2621994196	0.1876079144
88	0.01316990124	0.2607777915	0.186404891
89	0.01308090633	0.2593150686	0.1851431476
90	0.01300484971	0.2579361758	0.1840670666
91	0.01292382794	0.2565453214	0.182922226
92	0.01283955251	0.2550483712	0.1817324467
93	0.01276741391	0.2536795198	0.1807152228
94	0.01269328172	0.2523876018	0.1796547257
95	0.01261772154	0.2510492933	0.1785871863
96	0.01254191799	0.2498552859	0.1775114744
97	0.01246840318	0.2486478081	0.1764729116
98	0.01239795012	0.2474615192	0.1754734588
99	0.01233521017	0.2464016567	0.1745865509
100	0.01227158496	0.2452958046	0.1736784349
101	0.01221402282	0.2442556252	0.1728581036
102	0.01215447686	0.2431796541	0.1720105357
103	0.01209070705	0.2420833295	0.1711169123
104	0.01203168537	0.2410540463	0.1702762164
105	0.01196855161	0.2400434708	0.1693738547
106	0.0119118681	0.2390260757	0.1685638391
107	0.01185903443	0.2381805518	0.1678207497
108	0.0118046131	0.2371973564	0.1670445942
109	0.01174788778	0.2362766514	0.1662360419
110	0.0116979856	0.2354026606	0.1655203109
111	0.01165512465	0.2346117118	0.1649124571
112	0.01160674626	0.2337739994	0.1642420269
113	0.01156289704	0.2329297843	0.1636173157
114	0.01151557689	0.2320714894	0.1629530736
115	0.01147585719	0.2312825347	0.1623981578
116	0.01143037232	0.2305058885	0.1617522714
117	0.01138843185	0.2297511833	0.1611621408
118	0.01135171632	0.2290850946	0.1606380394
119	0.01131521409	0.2283266474	0.1601222486
120	0.01127663443	0.2276485138	0.1595733981
121	0.01124339215	0.2270477815	0.1590972331
122	0.0112067901	0.2262157299	0.1585804135
123	0.01117117557	0.2255369622	0.1580704832
124	0.01113286357	0.2248747479	0.1575236571
125	0.01110135374	0.2241866255	0.1570822803
126	0.01106753108	0.2235703394	0.1566044914
127	0.01103425246	0.2230005996	0.1561293506
128	0.01100810291	0.222479043	0.1557519894
129	0.01098334861	0.2219484663	0.1553931008
130	0.01095214927	0.2213613624	0.1549502757
131	0.01092369175	0.2206676213	0.1545586495
132	0.01089564881	0.2200216174	0.1541683562
133	0.0108663904	0.2193881365	0.1537561044
134	0.01084052673	0.2188652075	0.1533915375
135	0.01081713207	0.2183849285	0.1530580046
136	0.01079386691	0.2177644991	0.1527336811
137	0.01076866347	0.2172700739	0.1523812933
138	0.01074429999	0.2167895073	0.1520312041
139	0.01072164447	0.2163656751	0.1517124498
140	0.01070198514	0.2159059255	0.1514391662
141	0.01068124295	0.2154515795	0.1511444814
142	0.0106572722	0.2150114018	0.150816522
143	0.01063937641	0.214549714	0.1505571746
144	0.01061512223	0.2140894903	0.1502194411
145	0.01059062983	0.2135096372	0.1498732434
146	0.01057486591	0.2131387605	0.1496477144
147	0.01055246368	0.2126929186	0.1493238436
148	0.0105345668	0.2123395894	0.1490765347
149	0.01051110343	0.2118107634	0.1487553739
150	0.01049136063	0.2114409668	0.1484751336
151	0.01047108319	0.2110709637	0.1481815575
152	0.01045398169	0.2107550262	0.1479391119
153	0.01043925694	0.2104479564	0.1477273115
154	0.01042225358	0.2100809845	0.1474814345
155	0.01040381014	0.2097174069	0.1472233299
156	0.01038802363	0.2094182082	0.147001334
157	0.01037157091	0.2090633419	0.1467730069
158	0.01035334264	0.2086993547	0.1465166729
159	0.01033909514	0.2083829334	0.146317517
160	0.01032496892	0.2080947758	0.1461194824
161	0.01030885287	0.2077401331	0.14589061
162	0.01029295905	0.2074631866	0.145666175
163	0.0102776415	0.2070395155	0.145455183
164	0.01025918266	0.2066876814	0.1452011158
165	0.01024365695	0.2063736769	0.1449862311
166	0.01022888961	0.2060942122	0.1447759991
167	0.01021348545	0.2056678487	0.1445567071
168	0.01019803057	0.2053785068	0.1443443562
169	0.01018710009	0.2050796527	0.1441845964
170	0.01017312782	0.2048146763	0.1439879543
171	0.01015979221	0.20452626	0.1437987205
172	0.01014295553	0.204233647	0.143562695
173	0.0101227526	0.2038464217	0.1432760696
174	0.01011368505	0.2036166216	0.1431446554
175	0.01010309284	0.2033498433	0.1429958781
176	0.01008964445	0.2030778808	0.1428074487
177	0.01007961123	0.2028581643	0.1426618323
178	0.01007113014	0.2026571582	0.1425407647
179	0.01005973934	0.2024162044	0.1423817664
180	0.01004767006	0.2021815901	0.1422107506
181	0.01003484881	0.2019142325	0.142028477
182	0.01002384105	0.2016213617	0.1418759746
183	0.01000759372	0.2013047489	0.1416368637
184	0.009995046586	0.2010118781	0.1414633402
185	0.009986527133	0.2008152855	0.1413406902
186	0.009974384231	0.2005598969	0.1411625317
187	0.009964480969	0.2003658074	0.1410209257
188	0.009952147515	0.2000841702	0.1408498459
189	0.009944534021	0.19990906	0.1407423361
190	0.009936407382	0.199638002	0.1406230954
191	0.009923179583	0.1992987877	0.1404373315
192	0.009914309992	0.1990963615	0.1403112119
193	0.009905924428	0.1989010258	0.1401964556
194	0.009894318998	0.1986670589	0.1400252351
195	0.009886483227	0.1985124546	0.1399118809
196	0.009878432471	0.1982997553	0.1397966761
197	0.009872737193	0.1981657592	0.139715763
198	0.00986484533	0.1979472078	0.1396034791
199	0.009858956064	0.1978028208	0.1395196211
200	0.009849870309	0.197599838	0.1393908593
201	0.009840842272	0.1973294952	0.1392651777
202	0.009831391418	0.1971812198	0.1391351716
203	0.00982583944	0.1970461157	0.1390571875
204	0.009817343529	0.1967808015	0.1389399936
205	0.009806311172	0.1964688667	0.1387824177
206	0.009797520629	0.1962731009	0.1386552665
207	0.009790255497	0.1961191673	0.138555588
208	0.009782193694	0.1959243391	0.1384374858
209	0.009775599869	0.1957709353	0.1383420126
210	0.009765793168	0.1954977866	0.1382028777
211	0.009756303855	0.1952906941	0.1380658086
212	0.009745001402	0.1950453209	0.137905276
213	0.009739329854	0.1948706145	0.1378240771
214	0.00973449997	0.1947227118	0.1377535496
215	0.009725959039	0.1944522832	0.1376348272
216	0.009718230967	0.1943005704	0.1375298663
217	0.009709636336	0.1941119178	0.1374084902
218	0.009704476286	0.1939628446	0.1373308899
219	0.009698603003	0.1938329266	0.1372477132
220	0.009694036031	0.1936982723	0.1371848446
221	0.009688000905	0.1935273832	0.137103509
222	0.009683102246	0.1933625207	0.1370365718
223	0.009673942408	0.1931972769	0.1369088528
224	0.009666735222	0.1930858362	0.1368087287
225	0.009656740323	0.1928429017	0.1366690182
226	0.009652310736	0.1927446908	0.1366044539
227	0.009646042414	0.1926199827	0.1365142514
228	0.009640598358	0.1924288786	0.1364383413
229	0.009630596485	0.1922544821	0.1362913233
230	0.009627692306	0.1921765955	0.1362497747
231	0.009622126978	0.1920849318	0.1361713673
232	0.009614427509	0.1918700065	0.1360598824
233	0.009606598623	0.1916787445	0.135946521
234	0.009599081365	0.1914566642	0.1358400738
235	0.009593412336	0.191315306	0.135759047
236	0.009586579596	0.1910766513	0.1356648664
237	0.009581470038	0.1909710004	0.1355937348
238	0.00957385704	0.1908313851	0.1354878606
239	0.009569948683	0.1907020843	0.1354325892
240	0.00956398146	0.1905468571	0.1353454941
241	0.009560833462	0.1904554079	0.1353014231
242	0.009550577904	0.1901959872	0.1351612782
243	0.009542475457	0.190041128	0.1350428026
244	0.009536666838	0.1898746679	0.1349604298
245	0.00953135169	0.1897601086	0.1348845006
246	0.009526326363	0.1896107925	0.1348163414
247	0.009522616121	0.1895210851	0.1347631905
248	0.009517759474	0.1894182465	0.1346957407
249	0.00951346997	0.1892775895	0.1346325279
250	0.009509988162	0.1892137094	0.1345836262
251	0.009506139178	0.1891149797	0.134527848
252	0.009502235321	0.1890335487	0.1344740569
253	0.009495641301	0.1889130927	0.1343812259
254	0.009489144826	0.1887126337	0.1342928896
255	0.009484137229	0.1885782628	0.1342177249
256	0.009478547791	0.188455487	0.1341381776
257	0.009474298624	0.1883318869	0.1340786723
258	0.009464415262	0.1881147249	0.133933098
259	0.009460793192	0.1879709095	0.1338808049
260	0.00945632249	0.1878661577	0.1338165687
261	0.009453186011	0.1877385006	0.1337712287
262	0.009447797276	0.1876483622	0.1336978046
263	0.009443161707	0.187531666	0.1336317687
264	0.009438816756	0.1874475891	0.1335692496
265	0.009435572214	0.1873342185	0.1335231153
266	0.009430070026	0.1871288229	0.1334448677
267	0.009425974167	0.1870372268	0.1333873576
268	0.009416786773	0.1868402347	0.1332508847
269	0.009414841914	0.1867519329	0.1332209282
270	0.009410593757	0.1866472208	0.1331631412
271	0.0094041658	0.1865049002	0.1330715717
272	0.009402778412	0.1864604471	0.1330505814
273	0.00940017947	0.1863928864	0.133011259
274	0.009396195173	0.1862681859	0.1329565174
275	0.009394150377	0.1862034566	0.132926205
276	0.009388714949	0.1860972926	0.1328509881
277	0.009381298338	0.1858720144	0.1327421419
278	0.009377536311	0.1857571202	0.1326889396
279	0.009372849175	0.1856610753	0.1326222447
280	0.009364424891	0.1854761126	0.1325052236
281	0.009354765728	0.1852574968	0.1323644992
282	0.009352569282	0.1852067085	0.1323339041
283	0.009346327803	0.1850946983	0.1322449285
284	0.009342375436	0.1849666561	0.1321855628
285	0.009338351041	0.1848566153	0.1321280853
286	0.009334190887	0.1847791146	0.1320693522
